account_no,gender,age,income,loan_amount,term,installment_amount,interest_rate,credit_score_at_application,outstanding_balance,status
acc_00026198,M,28,19785,83000,72,1538,0.1,920,0,PAID_UP
acc_00027133,F,31,9063,19000,60,462,0.16,720,0,PAID_UP
acc_00027276,F,38,19737,42000,48,1025,0.08,960,0,PAID_UP
acc_00027360,M,47,19081,53000,36,1760,0.12,850,0,PAID_UP
acc_00028491,F,35,11998,9000,36,308,0.14,800,0,PAID_UP
acc_00029494,F,31,15888,18000,72,333,0.1,910,0,PAID_UP
acc_00030696,M,22,6358,30000,24,1542,0.21,570,5303,DEFAULT
acc_00030789,M,30,23811,73000,72,1280,0.08,960,0,PAID_UP
acc_00031168,M,45,13171,42000,60,999,0.15,740,0,PAID_UP
acc_00032575,F,30,20703,52000,48,1106,0.01,1000,0,PAID_UP
acc_00034570,M,43,13614,45000,36,1560,0.15,750,0,PAID_UP
acc_00036344,M,25,7963,15000,24,749,0.18,620,0,PAID_UP
acc_00036667,F,30,3717,8000,36,318,0.25,510,0,PAID_UP
acc_00037672,M,31,15348,40000,60,910,0.13,830,0,PAID_UP
acc_00038217,F,40,15659,33000,48,853,0.11,880,5637,LIVE
acc_00039355,M,25,15660,15000,48,395,0.12,860,6039,LIVE
acc_00040493,F,21,13456,13000,36,426,0.11,890,0,PAID_UP
acc_00041045,F,25,12443,47000,24,2212,0.12,850,0,PAID_UP
acc_00041999,F,30,4208,15000,48,481,0.23,530,2817,LIVE
acc_00043147,M,24,11711,31000,60,737,0.15,760,0,PAID_UP
acc_00043452,F,18,6535,12000,48,346,0.17,660,3120,LIVE
acc_00045899,M,38,6413,13000,36,510,0.24,520,0,PAID_UP
acc_00046346,F,43,20508,47000,24,2126,0.08,960,12607,LIVE
acc_00046865,F,34,11927,47000,48,1284,0.14,800,0,PAID_UP
acc_00047034,F,23,12086,34000,36,1146,0.13,840,0,PAID_UP
acc_00049511,M,47,34069,50000,60,967,0.06,980,0,PAID_UP
acc_00051782,M,45,7381,6000,36,229,0.22,540,0,PAID_UP
acc_00052692,M,28,11126,22000,60,535,0.16,730,0,PAID_UP
acc_00053316,M,36,25113,46000,60,933,0.08,960,0,PAID_UP
acc_00054219,M,27,7564,10000,36,367,0.19,600,0,PAID_UP
acc_00054861,M,29,8373,18000,48,529,0.18,630,1826,DEFAULT
acc_00055753,M,48,15825,33000,48,902,0.14,790,0,PAID_UP
acc_00055787,M,41,9080,6000,36,220,0.19,620,0,PAID_UP
acc_00056073,F,38,12463,34000,36,1162,0.14,810,0,PAID_UP
acc_00056818,F,50,10312,12000,60,292,0.16,710,0,PAID_UP
acc_00056961,M,18,13193,55000,36,1853,0.13,820,0,PAID_UP
acc_00058335,M,19,22735,35000,60,677,0.06,990,0,PAID_UP
acc_00059497,F,43,8021,8000,36,289,0.18,640,0,PAID_UP
acc_00060267,M,32,10036,34000,48,981,0.17,680,0,PAID_UP
acc_00061511,M,25,15692,31000,48,816,0.12,860,0,PAID_UP
acc_00063797,M,43,11523,25000,60,608,0.16,690,0,PAID_UP
acc_00064168,M,26,12889,50000,48,1366,0.14,780,0,PAID_UP
acc_00065653,F,53,11193,7000,36,246,0.16,730,1087,LIVE
acc_00066596,F,32,10496,25000,60,595,0.15,770,0,PAID_UP
acc_00066883,M,23,11632,23000,36,797,0.15,760,6849,LIVE
acc_00067369,M,34,23156,35000,24,1599,0.09,950,0,PAID_UP
acc_00067625,M,37,18953,65000,48,1680,0.11,880,0,PAID_UP
acc_00067731,M,23,5976,21000,48,662,0.22,550,2787,DEFAULT
acc_00068629,M,33,11190,19000,48,538,0.16,710,0,PAID_UP
acc_00068906,F,54,6068,13000,60,366,0.23,530,0,PAID_UP
acc_00069620,M,39,23332,32000,48,796,0.09,930,11992,LIVE
acc_00070137,M,35,8946,19000,48,558,0.18,630,0,PAID_UP
acc_00071341,M,37,19029,15000,24,699,0.11,880,0,PAID_UP
acc_00071407,F,23,17240,64000,48,1562,0.08,960,0,PAID_UP
acc_00071881,M,51,13037,38000,60,924,0.16,710,0,PAID_UP
acc_00072937,M,18,17524,29000,48,736,0.1,910,0,PAID_UP
acc_00073099,M,36,13859,38000,72,783,0.14,780,0,PAID_UP
acc_00073439,F,37,19829,30000,12,2610,0.08,970,0,PAID_UP
acc_00073568,M,18,13736,67000,72,1345,0.13,830,0,PAID_UP
acc_00077485,M,34,17327,47000,60,1045,0.12,860,0,PAID_UP
acc_00078925,M,40,30319,90000,60,1698,0.05,990,0,PAID_UP
acc_00079049,M,18,12608,24000,48,656,0.14,800,0,PAID_UP
acc_00079781,F,39,20796,69000,60,1366,0.07,970,0,PAID_UP
acc_00079814,M,35,11610,14000,48,397,0.16,720,0,PAID_UP
acc_00080616,M,38,5913,14000,60,462,0.31,500,4836,DEFAULT
acc_00081040,F,18,8763,21000,48,584,0.15,750,0,PAID_UP
acc_00083801,M,18,15410,39000,60,868,0.12,870,0,PAID_UP
acc_00083999,M,29,6467,25000,48,774,0.21,550,5913,DEFAULT
acc_00084510,F,40,11999,8000,60,186,0.14,790,3004,LIVE
acc_00084809,M,31,21773,52000,72,937,0.09,940,0,PAID_UP
acc_00085999,F,23,7612,18000,12,1642,0.17,690,0,PAID_UP
acc_00086557,F,35,12208,30000,48,805,0.13,810,22816,LIVE
acc_00086799,F,38,9222,20000,36,703,0.16,700,0,PAID_UP
acc_00087973,M,25,7822,22000,48,658,0.19,620,0,PAID_UP
acc_00089028,M,46,14206,30000,60,714,0.15,760,0,PAID_UP
acc_00089289,M,26,6084,22000,48,693,0.22,540,19800,LIVE
acc_00089560,F,20,12594,36000,24,1695,0.12,870,0,PAID_UP
acc_00090453,M,43,26416,35000,60,727,0.09,950,0,PAID_UP
acc_00091007,F,32,7129,25000,60,635,0.18,640,7948,LIVE
acc_00091221,F,42,7460,12000,24,599,0.18,620,0,PAID_UP
acc_00092093,F,26,7742,9000,48,260,0.17,680,0,PAID_UP
acc_00094183,F,46,15834,19000,48,500,0.12,870,0,PAID_UP
acc_00094221,M,18,21163,49000,48,1173,0.07,970,0,PAID_UP
acc_00094731,M,31,16484,66000,48,1738,0.12,850,0,PAID_UP
acc_00096808,M,45,19898,29000,48,764,0.12,870,0,PAID_UP
acc_00096919,F,23,15547,71000,36,2291,0.1,930,35881,LIVE
acc_00098576,M,25,8805,25000,72,556,0.17,650,0,PAID_UP
acc_00098775,F,27,13031,21000,60,467,0.12,860,0,PAID_UP
acc_00099117,F,53,10945,18000,60,438,0.16,720,0,PAID_UP
acc_00101151,F,31,4132,11000,24,576,0.23,520,0,PAID_UP
acc_00102044,F,18,18154,39000,60,701,0.03,1000,0,PAID_UP
acc_00102462,M,25,22659,39000,36,1204,0.07,970,9014,LIVE
acc_00102674,M,38,7106,23000,48,712,0.21,550,0,PAID_UP
acc_00104546,M,43,9475,8000,60,203,0.18,630,0,PAID_UP
acc_00104788,M,41,31652,79000,60,1491,0.05,990,0,PAID_UP
acc_00106197,F,18,11426,10000,36,337,0.13,840,2448,LIVE
acc_00107787,M,38,9650,28000,36,1012,0.18,650,0,PAID_UP
acc_00109352,M,18,11696,36000,60,838,0.14,770,0,PAID_UP
acc_00109513,M,24,11997,19000,36,659,0.15,760,10949,LIVE
acc_00109731,F,35,17723,48000,48,1194,0.09,940,0,PAID_UP
acc_00109958,M,35,9402,23000,60,584,0.18,650,0,PAID_UP
acc_00110150,M,43,10085,9000,36,325,0.18,650,0,PAID_UP
acc_00111523,F,18,15690,15000,60,311,0.09,950,0,PAID_UP
acc_00112780,M,44,9545,16000,60,406,0.18,620,0,PAID_UP
acc_00113411,M,37,9914,8000,60,199,0.17,660,0,PAID_UP
acc_00113462,M,35,8505,12000,48,359,0.19,610,0,PAID_UP
acc_00114393,F,22,15389,72000,60,1530,0.1,930,0,PAID_UP
acc_00114492,M,38,17488,62000,48,1633,0.12,850,0,PAID_UP
acc_00114646,F,25,5300,21000,24,1069,0.2,590,6226,LIVE
acc_00114846,F,48,17821,20000,60,435,0.11,900,0,PAID_UP
acc_00116530,M,39,6594,11000,48,353,0.23,530,0,PAID_UP
acc_00116629,M,26,12323,41000,72,867,0.15,770,0,PAID_UP
acc_00116667,F,38,18358,58000,24,2650,0.09,940,0,PAID_UP
acc_00116770,F,39,18984,61000,60,1266,0.09,950,0,PAID_UP
acc_00117322,F,28,16712,18000,60,374,0.09,940,0,PAID_UP
acc_00117379,F,18,17174,76000,72,1296,0.07,980,60534,LIVE
acc_00120557,M,36,7623,14000,60,371,0.2,580,0,PAID_UP
acc_00123003,M,25,5476,23000,60,662,0.24,520,4207,LIVE
acc_00123815,M,18,13073,50000,48,1341,0.13,810,0,PAID_UP
acc_00126606,F,41,19078,18000,60,374,0.09,940,0,PAID_UP
acc_00127118,M,30,16647,40000,72,782,0.12,860,16324,LIVE
acc_00127257,M,55,33062,63000,60,1277,0.08,960,16285,LIVE
acc_00128796,F,22,2546,6000,60,183,0.27,500,360,DEFAULT
acc_00128962,M,30,14150,49000,36,1675,0.14,810,0,PAID_UP
acc_00131258,F,41,11272,19000,60,452,0.15,760,5753,LIVE
acc_00131864,M,34,19979,21000,60,457,0.11,910,0,PAID_UP
acc_00134163,M,36,9297,11000,24,549,0.18,640,0,PAID_UP
acc_00135767,M,29,16400,63000,36,2093,0.12,860,0,PAID_UP
acc_00136583,F,36,13033,24000,48,644,0.13,830,0,PAID_UP
acc_00136645,M,18,12173,40000,36,1367,0.14,790,24310,LIVE
acc_00136903,M,50,10577,23000,12,2109,0.18,640,10695,LIVE
acc_00137221,M,18,17082,77000,60,1674,0.11,900,0,PAID_UP
acc_00137673,M,43,18397,41000,72,802,0.12,850,0,PAID_UP
acc_00139124,F,46,11128,18000,48,501,0.15,740,0,PAID_UP
acc_00139189,F,24,7647,7000,36,250,0.17,680,5956,LIVE
acc_00139740,M,40,10893,8000,36,285,0.17,680,0,PAID_UP
acc_00139800,M,35,24621,64000,48,1562,0.08,960,0,PAID_UP
acc_00139940,M,30,12883,36000,48,984,0.14,770,0,PAID_UP
acc_00140474,F,36,5029,16000,12,1498,0.22,540,0,PAID_UP
acc_00141795,M,39,9925,16000,48,470,0.18,650,0,PAID_UP
acc_00141998,M,20,14642,39000,36,1295,0.12,850,0,PAID_UP
acc_00142635,M,39,30527,77000,36,2308,0.05,990,27965,LIVE
acc_00145662,F,35,5182,17000,36,640,0.21,550,0,PAID_UP
acc_00145793,F,31,5729,17000,48,517,0.2,590,0,PAID_UP
acc_00145912,F,44,20637,63000,24,2849,0.08,960,0,PAID_UP
acc_00145960,M,32,22810,52000,60,1079,0.09,950,0,PAID_UP
acc_00147205,F,54,17285,28000,36,930,0.12,870,0,PAID_UP
acc_00148539,M,54,13337,8000,48,227,0.16,710,0,PAID_UP
acc_00149046,F,31,4246,7000,60,197,0.23,530,0,PAID_UP
acc_00150669,M,43,15136,16000,48,437,0.14,790,0,PAID_UP
acc_00152463,F,24,7253,27000,48,779,0.17,670,0,PAID_UP
acc_00154498,M,65,8139,9000,24,480,0.25,510,1937,DEFAULT
acc_00155418,F,21,4033,8000,36,301,0.21,550,1642,DEFAULT
acc_00155436,F,39,10009,7000,12,635,0.16,730,0,PAID_UP
acc_00157483,F,37,14058,32000,60,712,0.12,850,19368,LIVE
acc_00158295,M,29,11210,32000,60,778,0.16,730,0,PAID_UP
acc_00158995,M,47,13047,9000,24,441,0.16,730,0,PAID_UP
acc_00159969,F,28,15060,27000,48,698,0.11,900,0,PAID_UP
acc_00160486,M,22,9027,32000,48,923,0.17,670,0,PAID_UP
acc_00161274,F,41,11048,19000,48,529,0.15,760,0,PAID_UP
acc_00161557,F,30,9802,30000,60,714,0.15,750,0,PAID_UP
acc_00162916,M,40,16974,15000,24,713,0.13,840,0,PAID_UP
acc_00163894,F,20,9437,8000,48,223,0.15,760,0,PAID_UP
acc_00164235,M,28,6182,15000,48,473,0.22,540,3693,DEFAULT
acc_00164780,F,55,21511,25000,60,519,0.09,930,10355,LIVE
acc_00165087,F,26,12904,28000,60,623,0.12,860,0,PAID_UP
acc_00165191,F,44,5317,4000,36,155,0.23,530,0,PAID_UP
acc_00165342,F,43,7291,6000,48,179,0.19,610,0,PAID_UP
acc_00167118,F,20,13678,16000,60,348,0.11,890,2852,LIVE
acc_00167421,F,43,9911,28000,60,681,0.16,710,0,PAID_UP
acc_00167920,M,18,5112,20000,60,564,0.23,530,2383,DEFAULT
acc_00170283,M,44,8926,14000,60,363,0.19,600,0,PAID_UP
acc_00170668,M,34,24277,40000,72,701,0.08,960,0,PAID_UP
acc_00170692,M,24,14038,54000,60,1229,0.13,820,0,PAID_UP
acc_00171704,M,25,9167,10000,60,249,0.17,670,0,PAID_UP
acc_00173112,M,33,27688,95000,60,1793,0.05,990,0,PAID_UP
acc_00173759,F,28,7508,31000,60,770,0.17,670,7493,LIVE
acc_00174941,M,34,11903,29000,48,807,0.15,730,0,PAID_UP
acc_00176069,M,55,7509,17000,48,554,0.24,510,2944,DEFAULT
acc_00176116,F,37,16591,60000,60,1275,0.1,910,0,PAID_UP
acc_00176117,M,39,15322,34000,36,1162,0.14,810,14557,LIVE
acc_00176160,M,24,5923,7000,60,193,0.22,540,1312,DEFAULT
acc_00177433,M,62,12129,27000,48,779,0.17,660,0,PAID_UP
acc_00177991,M,24,10669,26000,60,632,0.16,720,0,PAID_UP
acc_00178881,M,38,12542,24000,48,668,0.15,740,0,PAID_UP
acc_00179304,F,38,8593,20000,60,497,0.17,680,0,PAID_UP
acc_00180224,M,25,21256,35000,48,871,0.09,950,0,PAID_UP
acc_00180370,F,33,5167,18000,60,487,0.21,560,12293,LIVE
acc_00182237,M,43,10561,14000,48,404,0.17,660,0,PAID_UP
acc_00182589,M,34,20118,53000,36,1735,0.11,910,0,PAID_UP
acc_00186381,M,43,19466,52000,24,2448,0.12,870,0,PAID_UP
acc_00186418,M,40,10365,18000,48,519,0.17,670,0,PAID_UP
acc_00187015,M,31,11967,40000,24,1939,0.15,740,0,PAID_UP
acc_00187238,M,18,7947,23000,72,525,0.18,640,0,PAID_UP
acc_00187432,M,24,23303,36000,60,713,0.07,980,10608,LIVE
acc_00187904,M,39,8168,28000,36,1041,0.2,590,0,PAID_UP
acc_00188188,M,26,19857,76000,36,2452,0.1,930,0,PAID_UP
acc_00189109,F,33,15941,15000,60,319,0.1,910,3366,LIVE
acc_00190039,F,23,11604,10000,36,337,0.13,830,0,PAID_UP
acc_00191433,M,40,17087,14000,24,666,0.13,840,0,PAID_UP
acc_00191860,F,30,8377,25000,48,709,0.16,690,0,PAID_UP
acc_00192957,F,31,6799,16000,60,406,0.18,630,0,PAID_UP
acc_00194477,F,33,12501,47000,48,1261,0.13,820,0,PAID_UP
acc_00194567,M,33,5812,15000,60,440,0.25,510,3106,LIVE
acc_00194983,F,45,10435,17000,48,482,0.16,720,0,PAID_UP
acc_00195056,M,39,8323,19000,36,696,0.19,590,0,PAID_UP
acc_00195220,M,27,13645,21000,60,489,0.14,800,0,PAID_UP
acc_00196264,F,24,12488,54000,60,1201,0.12,850,0,PAID_UP
acc_00196606,F,53,25412,68000,48,1597,0.06,980,0,PAID_UP
acc_00199007,M,38,6335,22000,48,717,0.24,520,3896,LIVE
acc_00199029,M,31,18382,75000,60,1631,0.11,890,12322,LIVE
acc_00200246,F,40,7220,17000,48,508,0.19,620,0,PAID_UP
acc_00200665,F,18,17579,86000,12,7402,0.06,990,0,PAID_UP
acc_00203182,M,32,7575,31000,60,821,0.2,590,0,PAID_UP
acc_00203452,M,26,16240,68000,72,1329,0.12,860,0,PAID_UP
acc_00204129,F,24,5549,17000,36,623,0.19,600,0,PAID_UP
acc_00204160,M,37,11828,41000,72,889,0.16,720,0,PAID_UP
acc_00204243,F,35,15872,30000,60,652,0.11,900,0,PAID_UP
acc_00205897,F,37,9906,23000,48,652,0.16,730,0,PAID_UP
acc_00206751,F,32,9708,22000,60,523,0.15,740,0,PAID_UP
acc_00207926,M,31,19087,67000,48,1732,0.11,900,60300,LIVE
acc_00209207,M,23,6282,25000,72,613,0.21,560,19350,LIVE
acc_00209489,M,23,13309,35000,12,3143,0.14,800,0,PAID_UP
acc_00211814,M,34,12038,25000,48,696,0.15,740,0,PAID_UP
acc_00211956,M,41,14575,20000,60,465,0.14,780,0,PAID_UP
acc_00213128,M,38,7683,19000,48,578,0.2,570,0,PAID_UP
acc_00213791,F,44,17237,49000,36,1604,0.11,900,0,PAID_UP
acc_00214512,M,33,13324,53000,24,2545,0.14,780,0,PAID_UP
acc_00214670,F,26,17247,52000,48,1269,0.08,960,0,PAID_UP
acc_00215569,F,38,7743,26000,48,764,0.18,650,0,PAID_UP
acc_00217826,F,60,13548,14000,48,383,0.14,770,0,PAID_UP
acc_00222351,F,39,5813,8000,48,248,0.21,560,0,PAID_UP
acc_00222969,M,29,8211,11000,60,285,0.19,620,0,PAID_UP
acc_00223695,M,29,6325,26000,60,718,0.22,540,14045,LIVE
acc_00225052,F,47,5162,6000,48,196,0.24,510,0,PAID_UP
acc_00225824,M,38,14866,9000,60,209,0.14,800,5119,LIVE
acc_00226451,F,26,9262,13000,48,362,0.15,740,0,PAID_UP
acc_00227122,F,24,7073,25000,48,721,0.17,660,0,PAID_UP
acc_00227528,F,41,18858,49000,60,1017,0.09,940,0,PAID_UP
acc_00228532,F,53,11970,16000,48,445,0.15,750,0,PAID_UP
acc_00229007,F,56,6284,14000,24,726,0.22,530,0,PAID_UP
acc_00229018,M,29,9813,41000,48,1183,0.17,680,0,PAID_UP
acc_00229186,M,44,15535,42000,48,1148,0.14,800,10103,LIVE
acc_00230727,M,39,6538,9000,48,288,0.23,520,3806,DEFAULT
acc_00230837,M,30,17161,30000,48,790,0.12,870,0,PAID_UP
acc_00231506,F,35,6998,25000,48,734,0.18,630,0,PAID_UP
acc_00232206,M,37,15467,51000,60,1160,0.13,820,13305,LIVE
acc_00233058,M,41,26412,87000,36,2726,0.08,960,0,PAID_UP
acc_00234132,M,39,10375,18000,24,890,0.17,670,0,PAID_UP
acc_00237581,M,36,9614,13000,48,382,0.18,650,0,PAID_UP
acc_00238309,M,27,8297,9000,48,264,0.18,630,0,PAID_UP
acc_00238631,F,18,3479,15000,12,1404,0.22,540,900,DEFAULT
acc_00239143,F,36,11047,32000,60,745,0.14,770,0,PAID_UP
acc_00239233,F,20,5751,6000,36,220,0.19,620,3028,LIVE
acc_00240809,M,37,16179,38000,72,763,0.13,830,0,PAID_UP
acc_00240864,F,31,4463,4000,36,153,0.22,540,816,LIVE
acc_00242224,M,36,24264,34000,60,706,0.09,950,0,PAID_UP
acc_00242379,M,32,9546,36000,48,1039,0.17,660,0,PAID_UP
acc_00242578,F,30,8674,16000,60,389,0.16,710,0,PAID_UP
acc_00242994,F,38,6377,18000,48,548,0.2,590,0,PAID_UP
acc_00243276,F,24,17797,74000,36,2285,0.07,970,0,PAID_UP
acc_00244029,M,21,5201,19000,60,536,0.23,520,8517,DEFAULT
acc_00245391,M,59,12514,28000,48,808,0.17,680,0,PAID_UP
acc_00245897,F,29,8356,9000,12,817,0.16,700,0,PAID_UP
acc_00246145,M,18,10923,47000,36,1629,0.15,750,23561,LIVE
acc_00246427,M,40,14986,45000,48,1230,0.14,800,0,PAID_UP
acc_00247228,F,25,7851,6000,60,149,0.17,690,0,PAID_UP
acc_00248518,F,42,12369,26000,60,605,0.14,790,0,PAID_UP
acc_00250015,M,27,22085,53000,36,1661,0.08,950,43632,LIVE
acc_00250259,M,37,10687,33000,48,952,0.17,690,0,PAID_UP
acc_00252439,M,42,19278,50000,60,1112,0.12,870,0,PAID_UP
acc_00254319,F,27,15766,47000,24,2169,0.1,920,0,PAID_UP
acc_00258582,F,26,16441,14000,48,348,0.09,940,0,PAID_UP
acc_00258787,F,28,18212,14000,60,284,0.08,970,0,PAID_UP
acc_00261338,F,42,20649,30000,48,732,0.08,960,0,PAID_UP
acc_00261436,F,51,23795,14000,60,277,0.07,970,0,PAID_UP
acc_00262885,M,31,23090,83000,24,3754,0.08,950,22524,LIVE
acc_00263236,F,19,10556,25000,24,1200,0.14,810,0,PAID_UP
acc_00264338,M,31,7465,8000,60,212,0.2,580,0,PAID_UP
acc_00264994,M,20,8117,17000,72,388,0.18,640,10453,LIVE
acc_00265093,M,32,26477,73000,60,1411,0.06,980,0,PAID_UP
acc_00265557,M,39,9374,12000,60,305,0.18,630,0,PAID_UP
acc_00266372,F,38,9543,7000,36,246,0.16,710,0,PAID_UP
acc_00266980,M,34,12602,29000,48,807,0.15,750,0,PAID_UP
acc_00267275,F,37,5888,8000,36,297,0.2,570,2682,LIVE
acc_00268771,M,29,14100,38000,48,1038,0.14,810,0,PAID_UP
acc_00269190,M,29,5757,4000,48,130,0.24,520,2180,LIVE
acc_00269678,F,35,7858,19000,60,472,0.17,660,0,PAID_UP
acc_00270124,M,30,9779,8000,60,199,0.17,670,0,PAID_UP
acc_00271854,M,31,6471,16000,72,402,0.22,540,0,PAID_UP
acc_00273736,F,33,10130,9000,36,312,0.15,750,1921,LIVE
acc_00274576,F,27,8646,11000,36,387,0.16,710,9900,LIVE
acc_00275349,M,45,15419,28000,48,765,0.14,790,0,PAID_UP
acc_00276501,F,33,4239,13000,48,424,0.24,520,0,PAID_UP
acc_00277011,F,27,4460,12000,48,378,0.22,550,3003,DEFAULT
acc_00277044,M,29,11406,22000,60,523,0.15,730,0,PAID_UP
acc_00278746,M,37,13519,14000,36,485,0.15,770,0,PAID_UP
acc_00280476,M,38,7132,23000,60,622,0.21,550,0,PAID_UP
acc_00281281,M,18,13605,16000,60,364,0.13,830,0,PAID_UP
acc_00281933,M,43,12411,39000,72,846,0.16,720,0,PAID_UP
acc_00282378,F,21,8331,14000,60,340,0.16,720,0,PAID_UP
acc_00282705,M,18,5994,8000,48,248,0.21,560,2959,DEFAULT
acc_00283010,F,42,5865,11000,48,341,0.21,560,0,PAID_UP
acc_00283104,M,29,16106,22000,24,1036,0.12,850,0,PAID_UP
acc_00284316,M,31,9022,29000,36,1048,0.18,640,8409,LIVE
acc_00285629,M,48,12226,7000,36,246,0.16,700,0,PAID_UP
acc_00286267,M,19,8132,14000,48,411,0.18,650,0,PAID_UP
acc_00286425,M,43,10129,22000,36,795,0.18,650,0,PAID_UP
acc_00288367,M,33,8166,15000,36,550,0.19,610,0,PAID_UP
acc_00288701,F,36,17156,13000,60,276,0.1,920,0,PAID_UP
acc_00288936,M,37,14342,44000,24,2113,0.14,790,0,PAID_UP
acc_00289958,F,42,9246,10000,60,243,0.16,690,0,PAID_UP
acc_00290897,F,38,5501,12000,12,1117,0.21,560,2948,LIVE
acc_00291374,M,43,18219,32000,60,712,0.12,850,10936,LIVE
acc_00292373,M,44,9006,23000,48,688,0.19,610,0,PAID_UP
acc_00294181,M,50,9616,11000,60,285,0.19,610,0,PAID_UP
acc_00294420,M,35,13589,47000,72,968,0.14,780,12576,LIVE
acc_00296422,M,37,21126,59000,60,1254,0.1,910,0,PAID_UP
acc_00296516,F,38,16016,14000,48,362,0.11,900,7287,LIVE
acc_00297612,F,34,16416,57000,60,1211,0.1,920,0,PAID_UP
acc_00297961,F,36,6909,22000,72,514,0.19,620,0,PAID_UP
acc_00298347,M,34,14208,40000,72,824,0.14,790,0,PAID_UP
acc_00298383,F,23,6085,21000,60,533,0.18,620,18900,LIVE
acc_00298546,M,38,10237,14000,60,348,0.17,670,0,PAID_UP
acc_00299467,F,47,19436,30000,60,637,0.1,930,27000,LIVE
acc_00299490,F,43,9062,23000,48,664,0.17,680,0,PAID_UP
acc_00300902,M,22,17060,20000,48,517,0.11,890,0,PAID_UP
acc_00301745,F,48,9846,27000,60,657,0.16,700,0,PAID_UP
acc_00302285,M,25,15365,22000,24,1036,0.12,850,0,PAID_UP
acc_00302506,F,23,16116,35000,12,3061,0.09,940,0,PAID_UP
acc_00302651,M,29,12961,28000,24,1344,0.14,780,0,PAID_UP
acc_00303289,M,28,15063,56000,60,1274,0.13,830,0,PAID_UP
acc_00304744,F,41,5620,10000,36,377,0.21,550,0,PAID_UP
acc_00305681,F,18,12254,32000,60,712,0.12,860,19919,LIVE
acc_00306177,F,45,9961,6000,24,294,0.16,710,0,PAID_UP
acc_00306345,M,46,9027,25000,60,649,0.19,600,0,PAID_UP
acc_00311425,M,27,9856,8000,48,231,0.17,690,0,PAID_UP
acc_00311851,M,52,15967,16000,48,437,0.14,780,0,PAID_UP
acc_00313386,F,41,5674,4000,48,124,0.21,550,0,PAID_UP
acc_00314141,F,51,12061,26000,48,724,0.15,760,0,PAID_UP
acc_00314443,M,18,13391,25000,48,671,0.13,820,0,PAID_UP
acc_00315462,M,24,15053,29000,48,778,0.13,840,0,PAID_UP
acc_00316274,M,35,12909,28000,60,666,0.15,760,0,PAID_UP
acc_00316341,F,31,3593,5000,60,153,0.27,510,0,PAID_UP
acc_00318273,M,26,5391,20000,48,652,0.24,520,2772,DEFAULT
acc_00319189,M,36,6026,8000,60,235,0.25,510,1414,DEFAULT
acc_00321138,M,19,10255,22000,60,535,0.16,720,0,PAID_UP
acc_00321491,F,25,5253,13000,48,396,0.2,580,0,PAID_UP
acc_00322380,M,24,6893,25000,36,929,0.2,580,2147,DEFAULT
acc_00322490,M,28,16951,16000,60,356,0.12,870,0,PAID_UP
acc_00322995,F,18,4154,4000,36,151,0.21,560,0,PAID_UP
acc_00323025,F,32,7568,31000,60,770,0.17,660,0,PAID_UP
acc_00324481,M,32,8156,28000,24,1411,0.19,610,0,PAID_UP
acc_00325000,F,40,10472,34000,24,1649,0.15,740,14274,LIVE
acc_00325366,M,33,10111,16000,36,570,0.17,680,0,PAID_UP
acc_00325837,F,47,5846,10000,60,276,0.22,540,0,PAID_UP
acc_00326212,M,34,10023,36000,48,1039,0.17,670,0,PAID_UP
acc_00327898,M,48,10127,13000,48,382,0.18,630,3639,LIVE
